"","date","source","authors","url","Citado","frequência","datee"
"1","2022-04-04","Discurso","Ciro Gomes (PDT)","https://www.youtube.com/watch?v=VpahqeTQQIQ","Lula",4,2022-04-04
"2","2022-04-04","Discurso","Ciro Gomes (PDT)","https://www.youtube.com/watch?v=VpahqeTQQIQ","Ciro",2,2022-04-04
"3","2022-05-31","Entrevista","Simone Tebet (MDB)","https://youtu.be/4D8lrLNowY0","Bolsonaro",3,2022-05-31
"4","2022-05-31","Entrevista","Simone Tebet (MDB)","https://youtu.be/4D8lrLNowY0","Lula",7,2022-05-31
"5","2022-05-31","Entrevista","Simone Tebet (MDB)","https://youtu.be/4D8lrLNowY0","Ciro",2,2022-05-31
"6","2022-05-31","Entrevista","Simone Tebet (MDB)","https://youtu.be/4D8lrLNowY0","Simone",13,2022-05-31
"7","2022-06-21","Entrevista","Ciro Gomes (PDT)","https://www.youtube.com/watch?v=e3KH8CwAbUU","Bolsonaro",25,2022-06-21
"8","2022-06-21","Entrevista","Ciro Gomes (PDT)","https://www.youtube.com/watch?v=e3KH8CwAbUU","Lula",22,2022-06-21
"9","2022-06-21","Entrevista","Ciro Gomes (PDT)","https://www.youtube.com/watch?v=e3KH8CwAbUU","Ciro",13,2022-06-21
"10","2022-06-21","Entrevista","Ciro Gomes (PDT)","https://www.youtube.com/watch?v=e3KH8CwAbUU","Simone",2,2022-06-21
"11","2022-06-22","Entrevista","Jair Bolsonaro (PL)","https://www.youtube.com/watch?v=QXQEYlh8NOU&ab_channel=JairBolsonaro","Bolsonaro",2,2022-06-22
"12","2022-06-22","Entrevista","Jair Bolsonaro (PL)","https://www.youtube.com/watch?v=QXQEYlh8NOU&ab_channel=JairBolsonaro","Lula",21,2022-06-22
"13","2022-06-22","Entrevista","Simone Tebet (MDB)","https://www.youtube.com/watch?v=GCXenWJAMjU","Bolsonaro",8,2022-06-22
"14","2022-06-22","Entrevista","Simone Tebet (MDB)","https://www.youtube.com/watch?v=GCXenWJAMjU","Lula",6,2022-06-22
"15","2022-06-22","Entrevista","Simone Tebet (MDB)","https://www.youtube.com/watch?v=GCXenWJAMjU","Ciro",4,2022-06-22
"16","2022-06-22","Entrevista","Simone Tebet (MDB)","https://www.youtube.com/watch?v=GCXenWJAMjU","Simone",20,2022-06-22
"17","2022-06-30","Discurso","Jair Bolsonaro (PL)","https://www.youtube.com/watch?v=MT0wdiiKyqo","Bolsonaro",4,2022-06-30
"18","2022-06-30","Discurso","Jair Bolsonaro (PL)","https://www.youtube.com/watch?v=MT0wdiiKyqo","Lula",6,2022-06-30
"19","2022-07-07","Discurso","Jair Bolsonaro (PL)","https://www.youtube.com/watch?v=rYw88vatC8s&ab_channel=JairBolsonaro","Bolsonaro",2,2022-07-07
"20","2022-07-07","Discurso","Jair Bolsonaro (PL)","https://www.youtube.com/watch?v=rYw88vatC8s&ab_channel=JairBolsonaro","Lula",12,2022-07-07
"21","2022-07-07","Discurso","Jair Bolsonaro (PL)","https://www.youtube.com/watch?v=rYw88vatC8s&ab_channel=JairBolsonaro","Ciro",2,2022-07-07
"22","2022-07-07","Discurso","Luiz Inácio Lula da Silva (PT)","https://www.youtube.com/watch?v=gPnUXR9_YOE&ab_channel=TV247","Bolsonaro",3,2022-07-07
"23","2022-07-07","Discurso","Luiz Inácio Lula da Silva (PT)","https://www.youtube.com/watch?v=gPnUXR9_YOE&ab_channel=TV247","Lula",3,2022-07-07
"24","2022-07-12","Discurso","Luiz Inácio Lula da Silva (PT)","https://youtu.be/qqHoUpFUpdI","Bolsonaro",13,2022-07-12
"25","2022-07-12","Discurso","Luiz Inácio Lula da Silva (PT)","https://youtu.be/qqHoUpFUpdI","Lula",56,2022-07-12
"26","2022-07-12","Entrevista","Ciro Gomes (PDT)","https://youtu.be/bG-6VTmiNZ8","Bolsonaro",60,2022-07-12
"27","2022-07-12","Entrevista","Ciro Gomes (PDT)","https://youtu.be/bG-6VTmiNZ8","Lula",95,2022-07-12
"28","2022-07-12","Entrevista","Ciro Gomes (PDT)","https://youtu.be/bG-6VTmiNZ8","Ciro",6,2022-07-12
"29","2022-07-12","Entrevista","Ciro Gomes (PDT)","https://youtu.be/bG-6VTmiNZ8","Simone",2,2022-07-12
"30","2022-07-14","Discurso","Jair Bolsonaro (PL)","https://www.facebook.com/jairmessias.bolsonaro/videos/1488137231606103/","Lula",1,2022-07-14
"31","2022-07-15","Discurso","Jair Bolsonaro (PL)","https://www.facebook.com/jairmessias.bolsonaro/videos/771780117350075/","Lula",4,2022-07-15
"32","2022-07-15","Live","Jair Bolsonaro (PL)","https://www.youtube.com/watch?v=BC1DKcI_clo&ab_channel=JairBolsonaro","Bolsonaro",4,2022-07-15
"33","2022-07-15","Live","Jair Bolsonaro (PL)","https://www.youtube.com/watch?v=BC1DKcI_clo&ab_channel=JairBolsonaro","Lula",4,2022-07-15
"34","2022-07-19","Discurso","Jair Bolsonaro (PL)","https://www.youtube.com/watch?v=8IVC8QRvz-M&ab_channel=Poder360","Bolsonaro",1,2022-07-19
"35","2022-07-19","Discurso","Jair Bolsonaro (PL)","https://www.youtube.com/watch?v=8IVC8QRvz-M&ab_channel=Poder360","Lula",10,2022-07-19
